scenario_id,w_cost,w_gwp,w_profit,cand_00,cand_01,cand_02,cand_03,cand_04,cand_05,centroid
0,0.0,0.0,1.0,0.0,0.2333251198660924,0.9999981649823245,0.17051130955885763,0.44527981653782767,0.3081215571165262,0.2742362638642172
1,0.0,0.5,0.5,0.23249771819351073,0.0,0.23242966780363294,0.010915162377441057,0.031896872410015265,0.012973363173231611,0.0036188812249198232
2,0.0,1.0,0.0,1.0001342657620802,0.30181370950896635,0.0,0.3864578445710831,0.1536527576572616,0.2529639986049955,0.268140327960681
3,0.5,0.0,0.5,0.2567377955186918,0.02049104158184356,0.8872228410685533,0.0,0.13091470616373746,0.04129037379263645,0.028007720285148086
4,0.5,0.5,0.0,0.7717037516762775,0.06963415967982611,0.4021225818539367,0.12287209078265837,0.0,0.028610417813416777,0.03985857560992556
5,1.0,0.0,0.0,0.7390164005686368,0.03319777282884795,0.9999883266860354,0.05502949997239581,0.04209040532090047,0.0,0.00731998623733221
centroid,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3964846960894955,0.0062133413805588456,0.48342997120204323,0.02076735868003532,0.030442133817919825,0.0037963258864304184,0.0
