candidate,max_regret,mean_regret,p90_regret,satisficing_frac_regret_le_0p2
cand_31,0.27059788736755674,0.04359945749829064,0.11552316009501751,0.974025974025974
cand_118,0.27236407307615307,0.040859603377490054,0.11593753385479477,0.974025974025974
centroid,0.2742362638642172,0.04085592492894236,0.11724696387187528,0.974025974025974
cand_180,0.27485719714737245,0.04140100546746938,0.11784514133164214,0.974025974025974
cand_86,0.2771030575278214,0.04140763370317974,0.11235856112060572,0.974025974025974
cand_217,0.277480515372839,0.04269692293189367,0.12007023932879601,0.974025974025974
cand_158,0.27783534739197857,0.04112764998908638,0.11553774644438086,0.974025974025974
cand_205,0.2791386282829439,0.042204725724476776,0.11867129396505394,0.974025974025974
cand_69,0.2799535885945763,0.04179850437078579,0.11730596349901068,0.974025974025974
cand_146,0.28014474960036095,0.04092589078280215,0.1178318539472688,0.974025974025974
cand_198,0.28136568714835586,0.04188097602627548,0.1193003715863864,0.974025974025974
cand_225,0.2829237392892614,0.04326392415133616,0.1213759207430063,0.974025974025974
cand_189,0.2836706446299143,0.04186008836120824,0.11573346212040381,0.974025974025974
cand_132,0.2841019078849961,0.041211388484337606,0.11211896829716916,0.974025974025974
cand_221,0.2843810223180073,0.043153048444733444,0.11685218714172563,0.974025974025974
cand_170,0.2867545605400583,0.041315859341473256,0.122490754735059,0.974025974025974
cand_50,0.28695106119675584,0.04310424252554004,0.11632590761894812,0.974025974025974
cand_212,0.2869889270911926,0.04247188976591788,0.12330965658503767,0.974025974025974
cand_103,0.28816669250016047,0.04120878615139289,0.12000532380731677,0.9696969696969697
cand_211,0.2884922811059356,0.04278726321986507,0.11481039548258976,0.974025974025974
cand_169,0.2894040666519946,0.041756121923092075,0.11496229312698003,0.974025974025974
cand_222,0.2917885140922777,0.043123747794131966,0.12677649556436255,0.9653679653679653
cand_102,0.2922560429850306,0.041899493335483214,0.11869027761439854,0.974025974025974
cand_190,0.2925150794038449,0.041883646437821234,0.12372757028473691,0.9653679653679653
cand_197,0.29378009267485516,0.04260869143111759,0.11810412010018123,0.974025974025974
cand_133,0.2939640008096347,0.04130021740860523,0.1196385649394287,0.9696969696969697
cand_228,0.295955394287311,0.04379362501443395,0.12712904507675515,0.961038961038961
cand_145,0.29685793089209567,0.042067535567748345,0.12146014941524963,0.9696969696969697
cand_206,0.2973348361768887,0.04254331930761432,0.12415906538122856,0.961038961038961
cand_216,0.2976523969802458,0.04359958164505922,0.12101006606799303,0.9696969696969697
cand_11,0.2977290547655943,0.04631807679457916,0.11908119125165817,0.9696969696969697
cand_159,0.30008861355157535,0.04171531148113444,0.11841322604459115,0.9653679653679653
cand_179,0.30029272673843,0.04270850392197649,0.12368352141342209,0.9696969696969697
cand_218,0.3013879876455824,0.0432375517273101,0.12322564656737733,0.961038961038961
cand_10,0.30181370950896635,0.04706926630950114,0.1196171362581675,0.974025974025974
cand_51,0.3028612018539192,0.04363709594158481,0.11694994468229492,0.9696969696969697
cand_204,0.30366268003659735,0.0436122392091558,0.1255556887421614,0.961038961038961
cand_68,0.30416177540404354,0.04381715321246081,0.11888511666210377,0.9696969696969697
cand_181,0.3045718668737787,0.04229378258333153,0.12083532681260811,0.9653679653679653
cand_226,0.3049505800655893,0.04393972241305351,0.12251013279021628,0.961038961038961
cand_117,0.30712566337806824,0.043131322966301865,0.11868222910264647,0.9696969696969697
cand_87,0.3073355659360665,0.04264915854888362,0.11820701226699737,0.9696969696969697
cand_157,0.3077892922172769,0.04318036807959439,0.1202272193839583,0.9696969696969697
cand_230,0.3081215571165262,0.04465225081537283,0.1231475954822554,0.9653679653679653
cand_199,0.3083471389900043,0.04295320570745453,0.12001580478520713,0.9653679653679653
cand_188,0.3089654173006122,0.04371705549846431,0.12099386492151354,0.9696969696969697
cand_210,0.3099231945642966,0.044434585753678965,0.12287483084256523,0.9696969696969697
cand_119,0.31129310793069565,0.04250644299487659,0.11663095412164937,0.9696969696969697
cand_213,0.31180967849337415,0.04365748135406101,0.12103924086929041,0.9653679653679653
cand_223,0.31459896054790404,0.04434877271529243,0.12272045497723816,0.9696969696969697
cand_168,0.3150656881257726,0.04416689647191326,0.11784817773667766,0.9696969696969697
cand_147,0.3152672221036018,0.04277367599840929,0.1183301391600996,0.9696969696969697
cand_131,0.315453006461905,0.04410444004522809,0.11905182458544561,0.9696969696969697
cand_196,0.3155932319818322,0.04469629292267556,0.11950491442926048,0.9696969696969697
cand_85,0.3163010242280643,0.044830429095603745,0.11962529463233618,0.9696969696969697
cand_229,0.3172256848724696,0.045063690960193935,0.1223383453278637,0.9696969696969697
cand_171,0.31817928303941256,0.043235627450782854,0.1202970021968498,0.9696969696969697
cand_30,0.3193403656295212,0.04765494894177732,0.12101067501745244,0.9696969696969697
cand_191,0.3207927374237358,0.043823505098658164,0.12213136278279202,0.9696969696969697
cand_203,0.32161003224696705,0.04573606282277182,0.12252116085312703,0.9696969696969697
cand_178,0.32238575466124186,0.04536229643807092,0.12365304941299671,0.9696969696969697
cand_144,0.3231278945092336,0.04526558230833015,0.12462619379376716,0.9696969696969697
cand_207,0.32319949844641926,0.04444674464794231,0.12386131742289053,0.9696969696969697
cand_219,0.3252671140275003,0.04511047797942909,0.12539176913983185,0.9696969696969697
cand_101,0.32555036576288776,0.04604752597491402,0.12546819868452208,0.9696969696969697
cand_227,0.32702393897607296,0.045755928911075626,0.12672265814777006,0.9696969696969697
cand_187,0.32859487033721035,0.04654392689406117,0.12863197195136755,0.9696969696969697
cand_49,0.3290284798424571,0.048320477482992986,0.12708965765060587,0.9696969696969697
cand_156,0.33052168881879873,0.04660426122042515,0.12939051552486813,0.9696969696969697
cand_70,0.3305665972362978,0.04568021789625606,0.1296568185299708,0.9653679653679653
cand_104,0.33095616775464765,0.04471738283629785,0.12935638094392998,0.9653679653679653
cand_32,0.3311738241104175,0.04792690934444172,0.12975831866652765,0.9653679653679653
cand_134,0.3324346172573598,0.044690950768930614,0.13019832704550782,0.9653679653679653
cand_116,0.33331880048901774,0.04731532378887387,0.13030625075670632,0.9653679653679653
cand_160,0.3334694326724794,0.04486511163434467,0.1308335232038016,0.9653679653679653
cand_195,0.3345162156577487,0.04779833568136063,0.13269778167080426,0.9653679653679653
cand_182,0.3345715736958941,0.04523685609078456,0.13160440458359446,0.9653679653679653
cand_200,0.335654825391545,0.045709277753329704,0.1324149785631371,0.961038961038961
cand_214,0.33672536933604547,0.046237812073342245,0.1332484474148724,0.961038961038961
cand_167,0.33695645713163414,0.047938291081366276,0.13136592248421708,0.9653679653679653
