design_id,design_label,w_cost,w_gwp,w_profit,b,c,r_cruise,r_hover,V_cruise,V_climb,c_charge,TOC_flight,GWP_flight,GWP_annual_ops,Annual_Profit,FoM,FoM_energy_rating,FoM_cost_rating,FoM_co2_rating,FoM_time_rating,Cost_Rating_Norm,GWP_Rating_Norm,Profit_Rating_Norm,Profit_Utility,Utility,Utility_Norm_star_at_design_scenario,AR,CL_cruise,CL_climb,Gamma_deg,SPL_hover,MTOM,m_battery,m_empty,P_req_total_hover,P_req_total_climb,P_req_total_cruise,E_total_req,E_trip,E_hover,E_climb,E_reserve,C_rate_hover,C_rate_climb,C_rate_cruise,C_rate_avg,DOD,n_battery_lifecycle,RPM_hover,FC_a
0,scenario_0,0.0,0.0,1.0,11.49729023904989,1.14972902390499,1.114471261320292,1.6653817065083154,77.86895043312471,52.45781695920256,3.999999999999999,124.83316707620564,57.626604076742595,321580.0796288223,1407149.6814692805,-0.43999357099117575,0.578998164666186,-0.37635538062733154,-0.50363176135502,1.6190165437394948,0.26098985041567496,-0.00013061228950100954,0.9999999534736658,0.8545715419464461,0.8545715419464461,0.9999999534736658,9.999999999999991,0.47330094028176306,1.0389384242357933,5.000000000000003,77.00000232707029,2368.6128702664514,860.8725287026869,1114.9403415637653,601246.2025978923,281235.671459312,200668.32259289298,137739.60459242994,70850.16372813228,10020.770043298206,20571.868560449675,66889.44086429766,2.7936596072078403,1.3067471063718434,0.9323950568862733,1.060687633370075,0.32920164770457555,870.6001453628795,832.7836453044105,5580.4100342363945
1,scenario_1,0.0,0.05,0.95,11.263119702701161,1.1263119702701165,1.1098209658653455,1.626353283783526,76.13535405902893,52.4578169592025,3.999999999999999,121.19921769960294,54.07320192128023,297036.87614016025,1405130.199323531,-0.4082672930527405,0.6033029237990555,-0.3348914037109857,-0.4082672930527405,1.6139494744820828,0.3818877603432384,0.0964785835894362,0.9975614030770601,0.8520373096547036,0.7890220795193313,0.9525072621026789,9.999999999999996,0.49692617331229605,1.0427697268920877,5.000000000000007,77.00000086835048,2281.492788775696,804.0120068782132,1084.6807818974828,582021.1528184806,270206.8292277935,184165.29511441247,128641.92110051414,67253.48939570998,9700.352546974676,19765.129174996007,61388.431704804156,2.8955843835135235,1.3442925076551635,0.9162315663890759,1.0522435993455819,0.33458947787030807,875.3990154153313,857.0230315963023,5493.236309042445
2,scenario_2,0.0,0.1,0.9,11.055042349130836,1.1055042349130826,1.1074034448999186,1.5916737248551391,74.40043985752726,52.4578169592026,4.0,118.10440030487528,50.961259593170084,275484.1834815514,1399483.442616252,-0.324750507582404,0.6244898607388739,-0.29957901387927593,-0.324750507582404,1.6086421496362704,0.4848492812271181,0.1810854568863962,0.9907428724765031,0.8449512389898456,0.7279810643326207,0.9097771309174923,10.000000000000009,0.5220569199608015,1.0461468753932803,4.999999999999997,77.0000140223756,2205.0922854136197,754.4183011090813,1057.8739843045448,565081.5358031734,260490.2488448987,169766.19177779483,120706.92817745302,64118.197584854744,9418.025596719557,19054.379313654626,56588.73059259828,2.9961178564859243,1.3811449083986862,0.9001170386679064,1.043388106232838,0.3399609871106978,880.6677965590644,879.6664240345611,5405.756955004155
3,scenario_3,0.0,0.15000000000000002,0.85,10.867924734992112,1.0867924734992118,1.1056813206656497,1.5604874558320192,72.64948308074851,52.4578169592026,4.0,115.45225066355827,48.205335714099334,256316.69325219776,1390655.2606855533,-0.25078837104091245,0.6431256830748125,-0.26931753797256647,-0.25078837104091245,1.603028737400948,0.5730836827613855,0.2560129709172258,0.980082730422896,0.8338728227863434,0.6711736437122551,0.8714722664970455,9.999999999999995,0.5490992482876665,1.0491551226035842,4.999999999999997,77.00000932702815,2137.205268206045,710.6908837226379,1033.7143844834086,549963.7711363098,251868.98155214055,157050.3473898266,113710.5413956221,61360.42559901324,9166.06285227183,18423.74957649917,52350.115796608865,3.0953754085352507,1.4176007449699477,0.8839305582038042,1.034012965728959,0.345356480598732,886.5055449593351,900.9802666982486,5317.185109390888
4,scenario_4,0.0,0.2,0.8,10.70108742545408,1.0701087425454074,1.106019671478846,1.5326812375756798,70.89671737209983,52.457816959202546,4.0,113.21434457039788,45.777293255842885,239334.61210562458,1379092.5228266318,-0.18562575563273412,0.659409589015155,-0.24378265100215368,-0.18562575563273412,1.597131823925469,0.6475366102070037,0.32202610964724143,0.9661205772783052,0.8193628338148106,0.6183651159253017,0.8373016837520926,10.000000000000005,0.578045159653568,1.0518112761014782,5.0000000000000036,77.00001504158439,2077.336888343353,672.3539392263816,1012.1829491169752,536578.8716358942,244217.111742939,145877.8039454624,107576.63027622107,58950.6956277336,8942.98119393157,17864.029470085352,48625.93464848747,3.192240516971095,1.4529080443787572,0.8678631621512389,1.0242022841738427,0.3507122792829203,892.8922166496236,920.794061037252,5228.238610964107
5,scenario_5,0.0,0.25,0.75,10.57060081407875,1.057060081407874,1.1086664004028342,1.510933469013125,69.36648816139001,52.45781695920261,3.8858252734305747,110.90986666038242,43.13393141789584,220727.99613006905,1361614.259758859,-0.11468450407221209,0.6719164806017456,-0.21748816834360862,-0.11468450407221209,1.591739944198933,0.7242043163090552,0.3938933091390211,0.9450153521464045,0.7974294986956325,0.5694009980036714,0.8072348413945587,10.000000000000009,0.6050104619961265,1.0538677137113406,4.9999999999999964,77.0000021257772,2030.9476595790493,642.7692661778276,995.3783934012218,526172.0373199247,238218.4221634622,137229.55690080838,102843.08258845244,57099.89695484963,8769.533955332077,17425.23643603103,45743.1856336028,3.2744069451158517,1.4824506067628753,0.8539895363500011,1.0152944268429769,0.35533682121666627,930.7217259279937,936.8529045187721,5117.2705309790335
6,scenario_6,0.0,0.30000000000000004,0.7,10.468269041600786,1.046826904160078,1.1151002192598756,1.4938781736001308,68.03710484622253,52.45781695920253,3.6691546846833445,108.61848503650796,40.31768921089726,200937.9676975801,1337537.6847253614,-0.03910357376067749,0.6816385079808478,-0.1913431165246171,-0.03910357376067749,1.5868588832127128,0.8004363218940728,0.47046074595452964,0.9159425813272036,0.7672159936874928,0.5253201234530417,0.7822980307154014,10.000000000000007,0.6298389739167004,1.055467779693507,5.000000000000004,77.00001449921687,1994.8397708073678,619.6656660399118,982.3741047674582,518050.21015780454,233407.69307397617,130455.89296127218,99146.50656638591,55661.208912628514,8634.170169296744,17073.3405118927,43485.29765375739,3.3440627005752974,1.5066685528382504,0.8421050260536441,1.0073260881098496,0.3592983246487853,1003.2654669891688,949.809195599675,4983.8661795941825
7,scenario_7,0.0,0.35000000000000003,0.6499999999999999,10.37571435784413,1.0375714357844132,1.119706949170479,1.4784523929740216,66.72901581759682,52.45781695920259,3.455004200465464,106.73964674556979,37.79711776257795,183243.81090216918,1310207.6043653172,0.02854228940664562,0.6901697301598115,-0.16990525389873815,0.02854228940664562,1.581866173663392,0.8629434178731192,0.5389895445885956,0.8829411614129323,0.7329196903851245,0.4863876000426568,0.7625580955244144,9.999999999999998,0.6556655948974073,1.0569042238858122,4.999999999999998,77.00003865446983,1962.3882476661188,599.1710461365816,970.4172015295375,510734.3479073538,229151.1138893563,124405.88523151021,95867.36738185308,54398.73897134968,8512.239131789229,16761.9796270918,41468.6284105034,3.4096063299489363,1.5297876315413348,0.8305200061563172,0.999199347631433,0.3631599979478944,1085.3807772132973,961.8126903573468,4848.089530350238
8,scenario_8,0.0,0.4,0.6,10.291265063232652,1.0291265063232653,1.1292792342034783,1.4643775105387753,65.40533258748971,52.457816959202574,3.234674464920538,105.21513769296514,35.454615214799155,166800.203470215,1278604.6515148121,0.09140922655369996,0.6979021919711598,-0.1525103478020948,0.09140922655369996,1.5766106531934763,0.91366232973035,0.6026770411297305,0.8447801935778293,0.6932613929365763,0.4525205263834257,0.7479389325985898,10.0,0.6833128428370925,1.0582047323186472,5.0,77.00006135083063,1932.9495273056461,580.4319437745518,959.7175835311011,504083.7873113954,225126.49337808485,118843.91871527358,92869.11100392832,53254.47143217045,8401.396455189923,16467.586089693243,39614.63957175786,3.473852827832568,1.5514411003232254,0.8190032956658516,0.9907750741599213,0.36699890144471614,1182.8447943347478,973.0090527241011,4704.611866739164
9,scenario_9,0.0,0.45,0.55,10.24719179407748,1.0247191794077481,1.139410700064413,1.45703196567958,64.64151953116166,52.45781695920259,2.9958738523865476,104.20395158696653,33.58700374479385,153638.21572637395,1247823.990139476,0.1415312693285405,0.7019883208363364,-0.14097254333315823,0.1415312693285405,1.5734800941033633,0.9473034936800013,0.6534532928563004,0.8076121531657882,0.6546349826052197,0.42373831163071407,0.7382406660265187,9.999999999999998,0.7000000286908277,1.0588756730033693,4.999999999999998,77.00000087112767,1917.6440043224372,570.4626471611231,954.3813571613142,500619.6700845903,222880.50250612083,115872.68067178383,91274.02354577971,52649.7966551851,8343.661168076505,16303.29601665143,38624.22689059461,3.510271339067666,1.56280523266702,0.8124821581109158,0.9858496895958259,0.369172613963028,1302.2267994606223,978.9455999890793,4574.335266514764
