scenario_id,w_cost,w_gwp,w_profit,cand_00,cand_01,cand_02,cand_03,cand_04,cand_05,cand_06,cand_07,cand_08,cand_09,cand_10,cand_11,cand_12,cand_13,cand_14,cand_15,cand_16,cand_17,cand_18,cand_19,cand_20,centroid
0,0.0,0.0,1.0,0.0,0.0338793769571486,0.15521976088552292,0.3687287858260394,0.7098106620706113,0.9999981649823245,0.03916424057667589,0.13719949007726806,0.2619649992225165,0.45290479336755607,0.6537139638371748,0.12723322800404635,0.21945612093675215,0.3508904349723716,0.49469083172560036,0.2006029832804993,0.2925150794038449,0.40653822805387996,0.25361092896256443,0.3493713672881241,0.3081215571165262,0.2742362638642172
1,0.0,0.2,0.8,0.037327842410987744,0.0,0.04094212098140759,0.17049370173991774,0.4141008223117728,0.6372995212444315,0.0012450670632327965,0.03283630312490893,0.10229360014214928,0.2283656293701577,0.3726071161925323,0.029537104215567322,0.07749146490982028,0.1600225740770621,0.2583891647658112,0.06762528988929728,0.12308124490139383,0.1980392765653748,0.0997202118246725,0.16046474823424406,0.1343910346727919,0.11031806594208171
2,0.0,0.4,0.6,0.14799120374468355,0.03945614196555913,0.0,0.04559413657650402,0.19172650147564207,0.3479363964292461,0.036661412472497545,0.001808635095257749,0.015957719984489804,0.07716198429546695,0.16483578747059746,0.005176499349796249,0.008862327805596149,0.04249023210446046,0.09542301672872977,0.00798311542080321,0.026982929321650473,0.06287584399957746,0.019165013609488413,0.044893648103071726,0.033996031151765305,0.0197353869426542
3,0.0,0.6000000000000001,0.3999999999999999,0.33795999366528906,0.1582177125180282,0.03836330760550233,0.0,0.04865760922642126,0.1378787002009707,0.1513831864686721,0.05008639565251627,0.008927268413740252,0.005263767807686115,0.03636988733557245,0.060121323070934984,0.019538619288281933,0.004263318718768616,0.011762297278558265,0.02764636953921884,0.01019004232881704,0.007017840020689947,0.017915243981214246,0.008627976558809425,0.012906456217648632,0.008458136530136384
4,0.0,0.8,0.19999999999999996,0.622340066608694,0.37139056609329657,0.1711378982338041,0.048817146446295534,0.0,0.022232286995494732,0.3605162434876461,0.19277543923257434,0.09630809986579014,0.027776834342704837,0.002315270223347099,0.20947742981487316,0.12462619379376716,0.06044768835587633,0.0225128608511862,0.14172090668043402,0.08780843835878305,0.045571119064601984,0.11107675737573941,0.06677358803734645,0.08622816430633151,0.09159216914041812
5,0.0,1.0,0.0,1.0001342657620802,0.6779775458785462,0.3973266150720871,0.1910484191025723,0.04475651698355998,0.0,0.6630634267166013,0.42887860902261354,0.2771030575278214,0.1437040270877048,0.06167477932110288,0.45224766276879247,0.3231278945092336,0.21004618420296528,0.1266775506337955,0.34920957003163045,0.2588409605987303,0.17753852431849515,0.2976523969802458,0.21833332572586484,0.2529639986049955,0.268140327960681
6,0.2,0.0,0.8,0.05184725594675066,0.0016414063924568012,0.045488569895871245,0.2065337819491152,0.5366707282216736,0.9040401731560901,0.0,0.03316547962819183,0.1160727047379575,0.27766821646273754,0.4746666406965264,0.027545290500672115,0.08367717953330667,0.18644511248438578,0.3148937317323953,0.07051827331244209,0.1383407798733577,0.23374610814111663,0.10826556345662897,0.18437268500558956,0.15054122152624438,0.12489698417186346
7,0.2,0.2,0.6000000000000001,0.16037280568190582,0.038959736759475505,0.0024086373159232233,0.07949640518716083,0.31215859578700245,0.6125392367423643,0.03327853381072421,0.0,0.027599012981757487,0.12432675978950636,0.26475750037605117,0.0010468740363603901,0.012910230830542102,0.0667749589132437,0.14978977209677335,0.008738287245407372,0.040104652695073906,0.09644486397677876,0.02557255364290434,0.0666637732758768,0.04800840640667725,0.03217649357389529
8,0.2,0.4,0.4,0.32977303419150333,0.1371527459009365,0.020203383510417505,0.013333707199648881,0.1485211421267737,0.38191297910308086,0.12743174639589083,0.027709199146250585,0.0,0.03185998189071759,0.11572303883001822,0.03542313634649119,0.0030179609022198406,0.007979484116543922,0.045560491235593914,0.007832979952815178,0.002743204291232426,0.02001829858688331,0.003754222603622237,0.009829540320606345,0.006350270061552643,0.00033068175036965464
9,0.2,0.6000000000000001,0.19999999999999996,0.5597800587091721,0.2959525510504688,0.09860492571298318,0.0077778052202082115,0.04549048447461612,0.2118935174718687,0.28219175498912874,0.11602519430057234,0.033007783026313686,0.0,0.027295373292056335,0.13040619466469316,0.05373248698196886,0.00979080532791532,0.0019380063824856464,0.06753446866829416,0.02598855189546212,0.004198529205059032,0.0425426875724112,0.013602103373407282,0.02529892972449921,0.02909166593491519
10,0.2,0.8,0.0,0.8509193754727461,0.5158846484459063,0.23813876016145386,0.06335419548667276,0.003592119068363875,0.10300634808656173,0.49808405582827164,0.26547348170079954,0.1271478582985326,0.029272310355187736,0.0,0.28652154522880025,0.1655793053076231,0.07273441878519193,0.019447813775282596,0.18836824962967824,0.11036619174559725,0.04951105206913997,0.14246344478710538,0.07850695867211333,0.1053798816333511,0.11898494236536583
11,0.4,0.0,0.6,0.17583715889620366,0.041546082830467346,0.007900025908921915,0.11648142507489312,0.4356734413754382,0.8802248283325578,0.03297840642602634,0.0012741161818178304,0.04232305725610064,0.17457428656062113,0.3677619645585801,0.0,0.020040885132563302,0.09414243699910219,0.2072392787418924,0.012576210347087002,0.056309127345572474,0.13309663523105542,0.035062844953395844,0.09151664972575724,0.06510353293866467,0.04770035148221208
12,0.4,0.2,0.39999999999999997,0.33508877220155997,0.1295904767676872,0.015546156899175045,0.040170111883140014,0.26188737251096816,0.6394499554890332,0.1169830038069517,0.018834700123827153,0.0045754290701018885,0.07195889345759121,0.20857888780830602,0.024227647105889538,0.0,0.02519834699816126,0.0928613826764717,0.0015222878502536563,0.008799063737489954,0.04652145463691881,0.003095898709872369,0.02453380156624574,0.013296781389298795,0.005705924454445177
13,0.4,0.4,0.19999999999999996,0.538086128509696,0.2613806137076866,0.06693803089220784,0.007604541694166467,0.13184704664927782,0.4424208256482882,0.24473334419065684,0.08014102706861626,0.010573543886882808,0.013089243357340852,0.0931415540608116,0.09220103721455875,0.023704857870216256,0.0,0.02222922961383067,0.03421410835619976,0.005034743132186992,0.0036920170455617685,0.014874695469128674,0.0012966964095136868,0.005235772842712594,0.007457240429457834
14,0.4,0.6000000000000001,-1.1102230246251565e-16,0.7894864082666423,0.4415736740964964,0.1667328283340509,0.023441894954003395,0.05020964423639784,0.29379461925635353,0.42088660802317224,0.1898502774622155,0.06497458215247409,0.002622516705900857,0.026107143762127305,0.20857735077203832,0.09581263918924277,0.023204576450648995,0.0,0.11530885231095622,0.04967334597569428,0.009265502903015088,0.07505641567719512,0.02646251470159222,0.04557768774493676,0.057611479853280856
15,0.6000000000000001,0.0,0.3999999999999999,0.3451929144639245,0.12681661188674576,0.01567733454024034,0.07179492081893901,0.3800420071474706,0.9017753361272934,0.11132266547032066,0.014748605353711697,0.013939262392511753,0.1168462092767727,0.3062231410389017,0.017820562117595973,0.0017704433500879135,0.04720561413208657,0.14495067836965736,0.0,0.019643327436055347,0.07781301493926218,0.007225979068430477,0.044026467064192776,0.025031696969352812,0.015869571410828454
16,0.6000000000000001,0.2,0.1999999999999999,0.532311263941308,0.24272774199599279,0.05119020170252053,0.02335034379921297,0.23412267445502777,0.688867199455796,0.2231939990232732,0.06017592546774808,0.004058370378540177,0.04209755234577006,0.17490680046065488,0.06991494539551257,0.009596294389551785,0.006128260303172706,0.05843951847626383,0.016812813675193716,0.0,0.019104570517152752,0.003125768996934286,0.00491035507670845,0.0010916815920141154,0.0017418805550887262
17,0.6000000000000001,0.4,-1.1102230246251565e-16,0.7590334873236482,0.3982427460101965,0.12630694276975762,0.014509640684443825,0.12780721566754172,0.5155629366892552,0.3746692064811825,0.14520711948674148,0.03378135226952539,0.006952769319723884,0.08319433378736452,0.16161320257838607,0.05702601933397222,0.004654780379215628,0.011532232487827088,0.07322950125534411,0.01996054646890122,0.0,0.03862943283039466,0.005398116994180691,0.016755540119632206,0.027218063604305676
18,0.8,0.0,0.19999999999999996,0.53515955684818,0.23269802775955872,0.044065529988093544,0.04771930337951957,0.3450214597360378,0.9439367307385638,0.21027781133114964,0.04883398134214023,0.0061663543454575365,0.07972901880945893,0.26529520433575815,0.0562520110517265,0.004110888384147304,0.020879678081605624,0.10327296481395709,0.008034676469447555,0.0035884143430728876,0.04314028146400373,0.0,0.017147171219163093,0.0055707478165757385,0.0046496781559797196
