tag,success,elapsed_s,gwp_eps,profit_eps,b,c,r_cruise,r_hover,V_cruise,V_climb,c_charge,TOC_flight,GWP_flight,Annual_Profit,Utility_Norm,MTOM,AR,SPL_hover,pareto_flag
anchor_TOC_flight,1,5.943762302398682,nan,nan,10.399419245589947,1.039941924558994,0.8438574932585383,1.4824032075983244,63.10461010496657,52.4578169592026,2.3616754362372085,102.6198120874493,30.145632055326125,1152008.4298004508,0.0,1882.242186898611,10.000000000000005,76.04986762454064,1
anchor_GWP_flight,1,4.028140068054199,nan,nan,14.39569416839976,1.439569416839976,1.2,1.6868750000000001,44.39849548255554,43.53779788322042,1.0,132.68710887040493,20.840459179902133,578932.430903966,0.0,1785.406924140607,10.0,70.73414506639078,1
anchor_neg_Annual_Profit,1,1.630052089691162,nan,nan,11.94142967028249,0.999999999999999,0.8529285164858773,1.4412144505423687,93.82644120824828,93.82644120824828,2.4707148351412296,127.36648404858295,62.84340783061444,1491728.9769727646,0.0,2938.048499796949,11.941429670282503,86.17872950932332,1
epsilon_run,1,31.90777587890625,20.840459179902133,1491728.9769727646,10.782580447936926,1.078241956652377,1.1636236844882393,1.546263408006551,60.335168562831285,54.00225634194447,2.3447041407629046,103.1871257121532,28.242725193044073,1121770.9225706214,0.0,1862.7620170780338,10.000149207153518,74.45548403050478,1
epsilon_run,1,32.4523708820343,20.840459179902133,1408747.472784692,10.78258228679033,1.0782421405513412,1.163625781181572,1.5462637144865257,60.335159708832805,54.00225634163999,2.344705001727996,103.18713416186054,28.24272519271488,1121770.922554144,0.0,1862.7621057530694,10.00014920700172,74.45547853515426,1
epsilon_run,1,49.41412091255188,20.840459179902133,1325765.9685966196,10.782582845666859,1.0782421964275033,1.1636263313226745,1.5462638076467339,60.33515686785301,54.00225634191258,2.34470526777537,103.18713643154753,28.242725192045057,1121770.922547922,0.0,1862.762123455385,10.000149207100556,74.45547676197633,1
epsilon_run,1,18.55491614341736,20.840459179902133,1242784.4644085467,10.78258471568596,1.0782423834219925,1.163627866151341,1.5462641193164681,60.335146839411046,54.002256342086845,2.3447061732684356,103.18714298092604,28.242725191778636,1121770.9225457646,0.0,1862.7621503402286,10.000149207143505,74.45547047057238,1
epsilon_run,1,27.267032146453857,20.840459179902133,1159802.9602204743,10.782585176184934,1.0782424294669435,1.1636289189381224,1.5462641960766967,60.33514552649442,54.00225634302862,2.344706362501886,103.18714690120252,28.242725191144444,1121770.922540005,0.0,1862.7622284316553,10.000149207183007,74.45546971491942,1
epsilon_run,1,22.3999502658844,20.840459179902133,1076821.4560324016,11.039193434287084,1.1039058333726197,1.1822140269511405,1.5890322391589395,58.71346880082501,53.71257705755266,2.179963402819521,103.86816723323784,26.929468988171315,1074196.5658074243,0.0,1848.11614563003,10.000122384135315,73.40024832721103,1
epsilon_run,1,34.56043291091919,20.840459179902133,993839.951844329,11.5032946773429,1.1503203534447106,1.2,1.666382446381438,55.9371320922544,53.252362303958165,1.8756961567547679,106.06669987320151,24.82800555184441,981360.9085602548,0.0,1825.505697965679,10.000079232620305,71.59252023285974,1
epsilon_run,1,11.62711501121521,20.840459179902133,910858.4476562564,11.626249999573382,1.162618906938473,1.1999999999999988,1.6868750000054362,55.37375253899802,52.97666777395335,1.5710919155226546,108.64473729150251,23.50054964767226,902884.7758989129,0.0,1822.293844268056,10.000052407704958,71.15687909233617,1
epsilon_run,1,2.1155483722686768,20.840459179902133,827876.9434681837,11.626249999781052,1.1626214000013517,1.1999999999966962,1.6868750000074075,55.4600825742684,52.762263888989644,1.2835799164120307,112.40559532435309,22.431716068637513,817539.6120383684,0.0,1823.543057115271,10.00003096430836,71.17104604850877,1
epsilon_run,1,2.149643898010254,20.840459179902133,744895.4392801111,11.723651669677137,1.1723633376352334,1.2,1.6868750000091763,55.01665609231498,52.610351575843474,1.0801174711619361,117.10899126053457,21.655238102223038,736796.4868672746,0.0,1821.7716983352125,10.000015603801497,71.15095472701806,1
epsilon_run,1,10.757764101028442,20.840459179902133,661913.9350920386,12.474993451962215,1.2474990054721882,1.2,1.6868749999948451,51.21984070788559,49.64218708732346,1.000000000000002,123.09965438518807,21.015297733935054,661129.2895008139,0.0,1799.7373333584858,10.000002723240915,70.8993976562867,1
epsilon_run,1,10.086924076080322,20.840459179902133,578932.430903966,14.390834378018232,1.439083438489497,1.199999999986846,1.6868750000145742,44.413525567853696,43.5421206283386,1.0000000000004976,132.66347067488203,20.840460770164814,579107.570460716,0.0,1785.4094838841,9.999999995221446,70.73417470161586,1
epsilon_run,1,32.08553075790405,24.658909057239615,1491728.9769727646,11.056251166930082,1.105625116581265,1.19999999999999,1.5918751945216285,55.97831563720277,52.457816959595085,2.109990394726721,104.58720041282703,25.495242277334945,1024752.3220905397,0.0,1806.9455815750875,10.00000000101068,72.87580864905127,1
epsilon_run,1,26.948195934295654,24.658909057239615,1408747.472784692,11.056252863602333,1.1056252862489415,1.1999999999999282,1.5918754772945096,55.978305698489535,52.4578169596562,2.1099911156521367,104.58720186903088,25.495242277322994,1024752.3220895007,0.0,1806.945494525454,10.000000001006596,72.87580184704842,1
epsilon_run,1,34.56955313682556,24.658909057239615,1325765.9685966196,11.056254145014105,1.10562541440053,1.2,1.5918756908680072,55.97829819259978,52.45781696006157,2.1099916601608486,104.58720296879426,25.495242277697535,1024752.3220985983,0.0,1806.9454287907793,10.00000000091243,72.87579670975536,1
epsilon_run,1,4.5580267906188965,24.658909057239615,1242784.4644085467,11.056255691713204,1.1056255690704395,1.2,1.5918759486511902,55.978289132399155,52.457816960061535,2.1099923173698336,104.5872042962454,25.495242277696295,1024752.3220988801,0.0,1806.9453494352395,10.000000000912433,72.87579050888615,1
epsilon_run,1,57.08155012130737,24.658909057239615,1159802.9602204743,11.05625686366556,1.1056256862596339,1.1999999999999917,1.5918761439865068,55.978282267356924,52.45781696036603,2.109992815391449,104.58720530172496,25.495242277738292,1024752.3221084196,0.0,1806.9452893024074,10.000000000967074,72.87578581016241,1
epsilon_run,1,10.600268125534058,24.658909057239615,1076821.4560324016,11.056257265453777,1.1056257264519493,1.199999999986067,1.591876210969025,55.97827990772004,52.45781696269817,2.109992986171189,104.58720564717277,25.495242275816626,1024752.3220505767,0.0,1806.9452686042284,10.000000000845027,72.8757841980282,1
epsilon_run,1,8.128598928451538,24.658909057239615,993839.951844329,11.446438015530848,1.1446438010111033,1.1999999999999924,1.656906336097924,55.6774742318535,52.45781696233694,1.9247053128048994,105.88554585031198,24.870485669930222,986092.7372948613,0.0,1818.1812477056724,10.000000004734936,71.69569015203967,1
epsilon_run,1,2.4940078258514404,24.658909057239615,910858.4476562564,11.299374092135508,1.1299374092135501,1.0131324247838576,1.632395682022584,57.17671616473912,52.457816959202574,1.704608450931907,106.11248979803662,24.65891420741132,957473.1298047199,0.0,1824.2415933358282,10.000000000000007,72.2514239357148,1
epsilon_run,1,0.8866360187530518,24.658909057239615,827876.9434681837,11.299374092135515,1.1299374092135501,1.0131324247838582,1.632395682022584,57.17671616473912,52.457816959202574,1.7046084509319068,106.1124897994963,24.65891420810887,957473.1298023039,0.0,1824.2415933896168,10.000000000000012,72.25142393632456,0
epsilon_run,1,0.9648211002349854,24.658909057239615,744895.4392801111,11.299374092135512,1.129937409213549,1.0131324247838582,1.632395682022584,57.17671616473912,52.457816959202574,1.7046084509319068,106.11248979949626,24.658914208108847,957473.1298023041,0.0,1824.2415933896157,10.00000000000002,72.25142393632456,0
epsilon_run,1,1.1328239440917969,24.658909057239615,661913.9350920386,11.299374092135514,1.1299374092135488,1.0131324247838585,1.632395682022584,57.17671616473912,52.457816959202574,1.7046084509319066,106.11248979949627,24.658914208108854,957473.1298023041,0.0,1824.241593389616,10.000000000000023,72.25142393632456,0
epsilon_run,1,0.9946680068969727,24.658909057239615,578932.430903966,11.299374092135512,1.1299374092135483,1.0131324247838585,1.632395682022584,57.17671616473912,52.457816959202574,1.7046084509319066,106.11248979949625,24.65891420810884,957473.1298023041,0.0,1824.2415933896157,10.000000000000025,72.25142393632456,0
epsilon_run,1,12.422271013259888,28.477358934577097,1491728.9769727646,10.724275375563124,1.0724275375520742,1.1751995678610418,1.5365458959569702,60.410484120075395,52.457816960329986,2.431685224938893,103.37601363537622,28.671513880082365,1129994.9249553122,0.0,1863.0793490586732,10.00000000003952,74.66513050672815,1
epsilon_run,1,29.46964716911316,28.477358934577097,1408747.472784692,10.724276291641216,1.0724276291442165,1.1752006087336857,1.5365460486335007,60.41047958505192,52.45781696093948,2.4316856897286354,103.37601778981332,28.671513879853073,1129994.9249622435,0.0,1863.0793876067617,10.000000000185608,74.66512768605804,1
epsilon_run,1,28.137933015823364,28.477358934577097,1325765.9685966196,10.724278161153485,1.0724278160903489,1.175202882475686,1.5365463602087894,60.41047058802192,52.45781696043703,2.4316866297954514,103.37602677424233,28.67151388033437,1129994.9249723624,0.0,1863.0794821411205,10.000000000233113,74.66512210598114,1
epsilon_run,1,4.3665430545806885,28.477358934577097,1242784.4644085467,10.724278574500708,1.072427857418278,1.1752033963459274,1.536546429110806,60.410468613612906,52.4578169596501,2.431686836949902,103.37602879801362,28.67151387784277,1129994.9249122231,0.0,1863.0795041445506,10.000000000296456,74.66512088419287,1
epsilon_run,1,22.708141088485718,28.477358934577097,1159802.9602204743,10.72427967318013,1.072427967276729,1.1752049651063,1.53654661243409,60.41046371788767,52.45781696413623,2.4316873764708187,103.37603486046476,28.67151387375265,1129994.9248735628,0.0,1863.0795841514275,10.000000000384958,74.66511787182822,1
epsilon_run,1,2.793419122695923,28.477358934577097,1076821.4560324016,10.612802744130638,1.0612802744130638,0.8882424172426322,1.5179671240217734,61.51817810138141,52.45781695920257,2.1888092967181296,102.8407874774939,28.47736284186532,1106212.341380865,0.0,1862.9545682199218,10.0,75.0615016337588,0
epsilon_run,1,0.9420468807220459,28.477358934577097,993839.951844329,10.612802744130638,1.0612802744130643,0.8882424172426321,1.5179671240217734,61.51817810138141,52.45781695920257,2.1888092967181296,102.84078747749389,28.477362841865318,1106212.341380865,0.0,1862.9545682199214,9.999999999999996,75.0615016337588,1
epsilon_run,1,1.6886792182922363,28.477358934577097,910858.4476562564,10.61280274413064,1.0612802744130645,0.8882424172426324,1.5179671240217734,61.51817810138141,52.45781695920257,2.1888092967181296,102.84078747749392,28.47736284186534,1106212.3413808648,0.0,1862.9545682199223,9.999999999999995,75.06150163375881,0
epsilon_run,1,0.8902981281280518,28.477358934577097,827876.9434681837,10.61280274413063,1.061280274413065,0.8882424172426324,1.5179671240217734,61.51817810138141,52.45781695920257,2.1888092967181296,102.84078747749392,28.47736284186535,1106212.341380865,0.0,1862.9545682199223,9.99999999999998,75.0615016337588,0
epsilon_run,1,1.0182020664215088,28.477358934577097,744895.4392801111,10.612802744130631,1.0612802744130652,0.8882424172426323,1.5179671240217734,61.51817810138141,52.45781695920257,2.1888092967181296,102.84078747749393,28.47736284186535,1106212.3413808648,0.0,1862.9545682199225,9.99999999999998,75.0615016337588,0
epsilon_run,1,1.0400280952453613,28.477358934577097,661913.9350920386,10.612802744130624,1.0612802744130656,0.8882424172426319,1.5179671240217734,61.51817810138141,52.45781695920257,2.1888092967181296,102.84078747749396,28.47736284186538,1106212.3413808648,0.0,1862.9545682199234,9.99999999999997,75.06150163375881,0
epsilon_run,1,0.900331974029541,28.477358934577097,578932.430903966,10.612802744130624,1.0612802744130645,0.8882424172426319,1.5179671240217734,61.51817810138141,52.45781695920257,2.1888092967181296,102.84078747749392,28.477362841865343,1106212.341380865,0.0,1862.954568219922,9.99999999999998,75.0615016337588,0
epsilon_run,1,26.418312072753906,32.29580881191458,1491728.9769727646,10.19238582475123,1.0192385823490393,1.144729891251926,1.4478976375403656,63.67465975552605,52.45781696076555,2.869373554024868,103.6295228452237,32.30253558436313,1223382.1659996186,0.0,1898.9124718673952,10.000000001237039,77.00252714097286,1
epsilon_run,1,17.11629009246826,32.29580881191458,1408747.472784692,10.19238584098311,1.0192385839720277,1.1447299590851145,1.4478976402453632,63.67465974813192,52.45781696076688,2.869373561953532,103.62952307956996,32.30253558435576,1223382.1659995774,0.0,1898.9124774743652,10.000000001238996,77.00252714098184,1
epsilon_run,1,2.4333009719848633,32.29580881191458,1325765.9685966196,10.192386414178234,1.019238641291547,1.1447323541738,1.4478977357778828,63.6746594863621,52.4578169607667,2.8693738420012864,103.62953135423021,32.30253558437562,1223382.1660006808,0.0,1898.912675441525,10.000000001238927,77.0025271407053,1
epsilon_run,1,21.43171715736389,32.29580881191458,1242784.4644085467,10.192386641847605,1.0192386640284812,1.1447333053226512,1.4478977737151877,63.674659381246755,52.45781696297335,2.8693739530651525,103.62953463851042,32.30253558212658,1223382.165983739,0.0,1898.912754017165,10.000000001533294,77.00252714016065,1
