design_id,design_label,w_cost,w_gwp,w_profit,b,c,r_cruise,r_hover,V_cruise,V_climb,c_charge,TOC_flight,GWP_flight,GWP_annual_ops,Annual_Profit,FoM_cost_rating,FoM_co2_rating,FoM_time_rating,Cost_Rating_Norm,GWP_Rating_Norm,Profit_Rating_Norm,Profit_Utility,Utility,Utility_Norm_star_at_design_scenario,AR,CL_cruise,CL_climb,Gamma_deg
0,scenario_0,0.0,0.0,1.0,11.49729023904989,1.14972902390499,1.114471261320292,1.6653817065083154,77.86895043312471,52.45781695920256,3.999999999999999,124.83316707620564,57.626604076742595,321580.0796288223,1407149.6814692805,-0.37635538062733154,-0.50363176135502,1.6190165437394948,0.26098985041567496,-0.00013061228950100954,0.9999999534736658,0.8545715419464461,0.8545715419464461,0.9999999534736658,9.999999999999991,0.47330094028176306,1.0389384242357933,5.000000000000003
1,scenario_1,0.0,0.2,0.8,10.70108742545408,1.0701087425454074,1.106019671478846,1.5326812375756798,70.89671737209983,52.457816959202546,4.0,113.21434457039788,45.777293255842885,239334.61210562458,1379092.5228266318,-0.24378265100215368,-0.18562575563273412,1.597131823925469,0.6475366102070037,0.32202610964724143,0.9661205772783052,0.8193628338148106,0.6183651159253017,0.8373016837520926,10.000000000000005,0.578045159653568,1.0518112761014782,5.0000000000000036
2,scenario_2,0.0,0.4,0.6,10.291265063232652,1.0291265063232653,1.1292792342034783,1.4643775105387753,65.40533258748971,52.457816959202574,3.234674464920538,105.21513769296514,35.454615214799155,166800.203470215,1278604.6515148121,-0.1525103478020948,0.09140922655369996,1.5766106531934763,0.91366232973035,0.6026770411297305,0.8447801935778293,0.6932613929365763,0.4525205263834257,0.7479389325985898,10.0,0.6833128428370925,1.0582047323186472,5.0
3,scenario_3,0.0,0.6000000000000001,0.3999999999999999,10.942491288075793,1.0942491288075793,1.1870648750110178,1.5729152146792986,59.607475003886236,52.45781695920257,2.309424494760831,103.74800549373417,27.867455613948522,112368.48165018517,1101787.447266349,-0.1357701213053208,0.29502970338247864,1.5508407253395944,0.9624723702929614,0.8089552376227932,0.6312711687744516,0.4713748713423067,0.3655677705664099,0.7378816100834565,10.0,0.7000006711114635,0.9003755773829641,5.0
4,scenario_4,0.0,0.8,0.19999999999999996,11.62625,1.1626249999999998,1.2,1.6868749999999997,55.587275507082175,52.457816959202574,1.2870358433683067,112.35533100102887,22.48666390186188,69619.20724535223,819320.9621563103,-0.2339811609097289,0.4394367584296116,1.5298159659614745,0.6761151440205978,0.9552471397925604,0.2901892925406437,0.11690989654293941,0.37493138605227716,0.8222355703421771,10.000000000000002,0.7000000044100373,0.7830195745743939,5.0
5,scenario_5,0.0,1.0,0.0,14.393431767585009,1.439343176758501,1.1999999999999997,1.6868749999999997,44.40545983207989,43.5328921468005,1.0,132.67746102931554,20.84046549901804,49389.95193045179,579002.5820796159,-0.46586010116387766,0.4836166256495204,1.434934614666764,1.7931022837834446e-05,1.0000036567861288,1.7896300013551786e-06,-0.1846637521132028,0.4836166256495204,1.0000036567861288,9.999999999999998,0.7000000381119721,0.7243147237798948,6.02855133584815
6,scenario_6,0.2,0.0,0.8,10.625602372338548,1.0625602372338545,0.9867426789648437,1.5201003953897578,70.2647067110434,52.45781695920258,4.0,112.33224789234336,45.22873406379671,234930.54011518572,1374715.8702629306,-0.23371777873609262,-0.17090379245685347,1.5949333537295471,0.6768830962691011,0.3369402286005702,0.9608357135980383,0.8138706068693959,0.6043529297482982,0.9040451901322509,10.000000000000004,0.5891573017739632,1.0530028325039986,4.999999999999999
7,scenario_7,0.2,0.2,0.6000000000000001,10.29848597984855,1.0298485979848548,0.996452319087825,1.4655809966414246,65.93178018259117,52.457816959202596,3.3346372172760983,105.52971366698253,36.61513542141492,174472.51218823183,1293528.1138734194,-0.15609971286289492,0.060263753112751006,1.5787261225014548,0.903196697485444,0.5711250469964297,0.8628004643338286,0.7119887287010379,0.408026045270594,0.8125446274966719,10.000000000000002,0.6723741768276102,1.0580944316205052,4.999999999999997
8,scenario_8,0.2,0.4,0.4,10.367299786692584,1.0367299786692585,1.0205332952500399,1.4770499644487636,63.48038238957713,52.45781695920258,2.6001293477413645,102.98903380959324,31.03264849171397,134798.44577014082,1190203.729750535,-0.12711012604121463,0.21008380571698113,1.5685767545462805,0.9877226093022412,0.7229005989006893,0.7380349553085471,0.5823277701628573,0.29154260514369246,0.7819187435441428,9.999999999999998,0.7000000150132627,1.021176746722906,4.999999999999999
9,scenario_9,0.2,0.6000000000000001,0.19999999999999996,11.097810895647122,1.1097810895647122,1.0516696738058025,1.598801815941187,58.42473831416795,52.45781695920257,1.983269248645897,104.3181499167795,26.126072061647072,98887.82281462081,1032077.2027875237,-0.14227556558815654,0.3417641030676596,1.544955675960051,0.9435042279333455,0.8562996296573502,0.5470951612375129,0.38389603277206535,0.2533825552773775,0.8118996556285819,10.0,0.7000007089251357,0.8649994489232802,5.0
